item_id,category,question_preview,sheet_best_answer,sheet_confidence,sheet_tier,sheet_n_agree,sheet_evidence,teacher_sonnet,teacher_gpt4,teacher_oss,wolfram_answer,wolfram_confidence,search_status,search_answer,search_source,backsolve_answer,backsolve_confidence,backsolve_tier
454,FREE,Consider the report cards for Sam and Samantha given below. $\begin{array}{cccc}\hline Sam & Samantha \\ \hline Credits ,"1.5,0.9375",86.86,2,22,sub+teacher+wolfram,"1.5, 0.9375","1.5,\frac{15}{16}","1.5,15/16","1.5, 0.9375",HIGH,,,,0.9375,75.42,3
455,FREE,A movie is 115 minutes long. 60 minutes=1 hour Which statement about the movie is true? [ANS] A. The movie is more than ,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
456,FREE,Samples were collected from two ponds in the Bahamas to compare salinity values (in parts per thousand). Several samples,"-7.740,A,B",29.43,5,10,backsolve+sub+teacher,"-7.71, A, B","-7.83,A,B","-2.80,A,B",,,,,,"-7.740, A, B",34.79,5
457,MCQ,Find the sum of all positive integers $x$ such that there exists integers $a$ and $b$ that satisfy $$$|x^2 - 92x + 2099|,G,47.2,5,14,sub+teacher,C,C,G,,,,,,Letter,63.1,3
458,FREE,$n$ assistants start simultaneously from one vertex of a cube-shaped planet with edge length $1$. Each assistant moves a,3,58.45,5,15,backsolve+sub+teacher,5,3,3,,,,,,3,74.09,3
459,FREE,Complete the following fundamental identities: $\begin{array}{cccc}\hline 1. & Pythagorean Identity: 1-\cos^2(A) &=& [AN,"\sin^2(A),\frac{\cos(A)}{\sin(A)},\sec^2(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}",68.31,4,18,backsolve+sub+teacher,"\sin^2(A),\ \frac{\cos(A)}{\sin(A)},\ \sec^2(A),\ \frac{1}{\tan(A)},\ \frac{1}{\sin(A)}","\sin^2(A),\frac{\cos(A)}{\sin(A)},\sec^2(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}","\sin^{2}(A),\frac{\cos(A)}{\sin(A)},\sec^{2}(A),\frac{1}{\tan(A)},\frac{1}{\sin(A)}",,,,,,"\sin^2(A), \dfrac{\cos(A)}{\sin(A)}, \sec^2(A), \dfrac{1}{\tan(A)}, \dfrac{1}{\sin(A)}",75.78,3
460,FREE,Indicate whether the following statements are True (T) or False (F). You must get all answers correct in order to receiv,"F,F,T,T,T,T,F",87.98,2,19,backsolve+sub+teacher,"F,F,T,T,T,T,F","F,F,T,T,T,T,F","F,F,T,T,T,T,F",,,,,,"F, F, T, T, T, T, F",95.52,1
461,FREE,Suppose that the minimum and maximum ages for typical textbooks currently used in college courses are $0$ and $8$ years.,"2,302",89.31,2,21,sub+teacher,"2, 302","2,302","2,302",,,,,,3,49.19,4
462,FREE,Let $f(x)=\sqrt{56-x}$ and $g(x)=x^2-x$. Then the domain of $f\circ g$ is equal to $[a;b]$ for $a=$ [ANS] and $b=$ [ANS],"-7,8",87.98,2,19,backsolve+sub+teacher,"-7,8","-7,8","-7,8",,,,,,"-7, 8",97.68,1
463,MCQ,Let $f(x)$ be a monotonically increasing function defined on $[a; b]$. Let $E = \{x \in [a; b] : f'(x)$ exists$\}$. Find,J,51.72,5,12,sub+teacher,J,J,D,,,,,,E,93.03,1
464,MCQ,Let the system $\mathrm{L}$ be formed by two independent subsystems $L1$ and $L2$ in parallel; and the lifetime of $L1.L,G,93.67,2,22,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
465,MCQ,Find the volume of the solid that lies under the double cone $z^2 = 4 \cdot x^2 + 4 \cdot y^2$; inside the cylinder $x^2,H,85.4,2,21,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
466,FREE,A model car has a scale factor of $\frac{1}{64}$ The diameter of a tire on the model is 0.42 inches. So; the diameter of,26.9,93.67,2,22,backsolve+sub+teacher,26.9,26.9,26.9,,,,,,26.9,99.0,1
467,FREE,According to the 1993 World Almanac; the number of calories a person walking at 3 mph burns per minute depends on the pe,"0.02667w + 0.03333,\ 100 \leq w \leq 220,\ 0 \leq C \leq 6,\ 4.967",29.43,5,10,backsolve+sub+teacher,"C=0.0267w+0.03, A, A, 5.0","C= 0.0267w+0.033,\ A,\ A,\ 4.97",5.0,,,,,,"0.02667w + 0.03333,\ 100 \leq w \leq 220,\ 0 \leq C \leq 6,\ 4.967",25.71,5
468,FREE,Astronaunts often report that there are times when they become disoriented as they move around in zero-gravity. Therefor,"0.6714,0.8816",58.73,5,18,sub+teacher,"0.671, 0.882","0.6714,0.8816","0.671,0.882",,,,,,0.8816,52.79,4
469,FREE,The area; $A=f(s)$ square feet; of a square wooden deck is a function of the side $s$ feet. Stain that costs \$31.50 wil,"s^2,0.1575A,0.1575s^2,C,81,square feet,14.175,dollars,19.0575,dollars",36.85,5,7,sub+teacher+wolfram,"s^2,\ 0.1575A,\ 0.1575s^2,\ C,\ 81,\ A 9-ft square deck has area 81 sq ft,\ 14.175,\ Cost to stain 90 sq ft is \14.175,\ 19.0575,\ Cost to stain an 11-ft square deck is \19.0575","s^2,0.1575A,0.1575s^2,C,81,square feet,14.175,dollars,19.0575,dollars","s^2,0.1575 A,0.1575 s^2,C,81,14.175,19.0575","s^2, 0.1575A, 0.1575s^2, C, 81, square feet, 14.175, dollars, 19.0575, dollars",HIGH,,,,19.06,72.87,3
470,FREE,Suppose you have selected a random sample of $n=12$ measurements from a normal distribution. Compare the standard normal,"1.960,2.201,2.326,2.718,2.576,3.106",72.27,4,20,sub+teacher,"1.96, 2.201, 2.326, 2.718, 2.576, 3.106","1.960,2.201,2.326,2.718,2.576,3.106","1.96,2.20,2.33,2.72,2.58,3.11",,,,,,"2.576, 3.106",56.66,4
471,MCQ,In triangle $ABC;$ $BC=9.$ Points $P$ and $Q$ are located on $BC$ such that $BP=PQ=2;$ $QC=5.$ The circumcircle of $APQ$,C,87.33,2,19,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
472,MCQ,On a certain planet; there are exactly 360 days in a year. Find the number of ways we can split the year into equally-si,I,85.4,2,21,backsolve+sub+teacher,I,I,I,,,,,,I,99.0,1
473,FREE,Solve the following inequality and write your answer using interval notation. u^2+13 u+22 \leq 3 u+1 Answer: [ANS] Help:,"[-7,-3]",93.67,2,22,backsolve+sub+teacher,"[-7,-3]","[-7,-3]","[-7,\,-3]",,,,,,"[-7, -3]",99.0,1
474,MCQ,How many bit strings of length eight do not contain six consecutive 0s?,C,73.09,4,21,backsolve+sub+teacher,C,E,C,,,GOLD,248,https://math.stackexchange.com/questions/1991252,C,77.43,3
475,FREE,Two points are selected independently and uniformly at random inside a regular hexagon. Compute the probability that a l,0.3333,32.26,5,11,backsolve+sub+teacher,1,\frac{2}{3},\frac13,,,,,,0.3333,95.51,1
476,MCQ,Compute $\int_{0}^{\frac{ 1 }{ 5 }} e^{-2 \cdot x^2} \; dx$ with accuracy $0.00001$.,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
477,FREE,Which of the following must be avoided in designing a questionnaire? [ANS] A. Leading questions  B. Demographic question,"A,C",87.98,2,19,backsolve+sub+teacher,"A,C","A,C","A,C",,,,,,"A, C",97.68,1
478,FREE,List all real values of $x$ such that $f(x)=0$. If there are no such real $x$; type DNE in the answer blank. If there is,-\frac{3}{10},58.79,5,13,sub+teacher,-3/10,-\frac{3}{10},-\frac{3}{10},,,GOLD,-3/10,computed,-3/10,81.65,2
479,FREE,Construct both a $90$ \% and a $95$ \% confidence interval for $\beta_1$. $\hat{\beta}_1=42; \ s=7.3; \ SS_{xx}=59; \ n=,"40.36,43.64,40.01,43.99",59.45,5,14,sub+teacher+wolfram,"40.36, 43.64, 40.01, 43.99","40.357,43.643,40.011,43.989","40.36,43.64,40.01,43.99","40.36, 43.64, 40.01, 43.99",HIGH,NOT_FOUND,,,"40.01, 43.99",80.67,2
480,FREE,The height inside a camping tent when you are $d$ feet from the edge of the tent is given by ${h={-\left|d-5\right|+5}}$,"2.5,2.5",89.49,2,21,sub+teacher,"2.5,2.5","2.5,2.5","2.5,2.5",,,,,,2.500,47.07,4
481,MCQ,Let $N$ denote the number of $7$ digit positive integers have the property that their digits are in increasing order. De,A,93.67,2,22,backsolve+sub+teacher,A,A,A,,,,,,A,99.0,1
482,MCQ,Set $x^{4} \!-\! 2 x^{2} \!+\! 3 \!=\! c_{0} \!+\! c_{1} ( x \!+\! 2 ) \!+\! c_{2} ( x \!+\! 2 )^{2} \!+\! c_{3} ( x \!+,H,93.67,2,22,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
483,MCQ,Let $x;y$ be two non-negative real numbers such that $y\sqrt{2016-x^2} + x\sqrt{2016-y^2} = 2016$ . Then; the maximum po,A,78.21,3,21,backsolve+sub+teacher,A,None of the listed options,A,,,,,,A,77.43,3
484,MCQ,Let $\star (x)$ be the sum of the digits of a positive integer $x$ . $\mathcal{S}$ is the set of positive integers such ,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
485,FREE,Stan and Hilda can mow the lawn in $45$ min if they work together. If Hilda works twice as fast as Stan; how long would ,135,93.67,2,22,backsolve+sub+teacher,135,135,135,,,,,,135,99.0,1
486,MCQ,The number of increasing sequences of positive integers $a_1 \le a_2 \le a_3 \le \cdots \le a_{10} \le 2007$ such that $,B,93.67,2,22,backsolve+sub+teacher,B,B,B,,,,,,B,99.0,1
487,FREE,A sample of four 35-year-old males is asked about the average number of hours per week that he exercises; and is also gi,"-21.1,-0.9636",29.04,5,7,sub+teacher+wolfram,"-21.1, -0.9637","-21.1,-0.961","-21.1,-0.964","-21.1, -0.9636",HIGH,,,,-0.9636,41.16,4
488,FREE,Having won the elections in Linetown; Turbo the Snail has become mayor; and one of the most pressing issues he needs to ,2025!,32.26,5,11,backsolve+sub+teacher,2051326,4050,4050,,,,,,2025!,70.82,3
489,FREE,Angelina's goal for each five-day work week is to have average total sales of \$ 245 per day. For the first four days of,385,95.0,1,24,sub+teacher,385,385,385,,,,,,\$385,91.65,1
490,FREE,The required cooling capacity; in BTUs; for a room air conditioner is directly proportional to the area of the room bein,"23.00,410.0",19.68,0,7,backsolve+sub+teacher,"23  BTUs per square foot, 410  square feet","23,BTUs/ft^2,410,ft^2","23,BTU/ft^2,410,ft^2",,,,,,"23.00, 410.0",72.87,3
491,FREE,Following are the number of miles traveled for 30 randomly selected business flights within the United States during 199,"1255.37,\ 1091.15,\ 1419.59,\ \text{No},\ \text{Central Limit Theorem}",29.43,5,10,backsolve+sub+teacher,"1255.37, 1091.05, 1419.69, No, Central Limit Theorem","1255.37,1091.05,1419.69,No,Central Limit Theorem","1255.37,1091.05,1419.68,No,Central Limit Theorem",,,,,,"1255.37,\ 1091.15,\ 1419.59,\ \text{No},\ \text{Central Limit Theorem}",37.29,5
492,FREE,If the coefficient of correlation is 0.90; the percentage of the variation in the dependent variable y that is explained,"A,A",47.89,5,6,sub+teacher,"A,A","A,A","A,A",,,,,,"81\%, A",30.82,5
493,FREE,In a study of red/green color blindness; $900$ men and $2650$ women are randomly selected and tested. Among the men; $82,"14.67,B,0.06866,0.1083",32.26,5,11,backsolve+sub+teacher,"14.67, B, 0.0687, 0.1083","14.56,B,0.0687<(p_1-p_2)<0.1083","14.68,Yes,0.069,0.108",,,,,,"14.67, B, 0.06866, 0.1083",46.67,4
494,FREE,It’s given that $1 \text{gram}=1000 \text{milligrams}$. Do the following unit conversions. ${0.007 \text{grams}=}$ [ANS],"7,0.062",75.06,3,16,sub+teacher,"7, 0.062","7,0.062","7,0.062",,,,,,0.06200,51.54,4
495,FREE,A multinomial experiment with $k=3$ cells and $n=400$ produced the data shown below. $\begin{array}{cccc}\hline \ & Cell,"100,100,200,0.255,5.991,B",47.44,5,10,sub+teacher+wolfram,"100, 100, 200, 0.255, 5.99, B","100,100,200,0.255,5.991,B","100,100,200,0.255,5.99,B","100, 100, 200, 0.255, 5.991, B",HIGH,,,,"100, 100, 200, 0.255, 5.99, B",55.37,4
496,FREE,Directions (or bearings) on Earth are measured in degrees; running from zero to $360^\circ$; clockwise; starting with $0,9.594^\circ,37.78,5,8,sub+teacher+wolfram,99.594,9.594^\circ,99.6^\circ,9.594^\circ,HIGH,,,,99.594,36.1,5
497,FREE,(a) Evaluate $\tan t$ if $t=48$ degrees. $\tan t=$ [ANS] (b) Evaluate $\arctan z$ if $z=48$. $\arctan z=$ [ANS] degrees ,"1.111,88.81,88.81,0.9004",34.86,5,12,backsolve+sub+teacher,"1.1106, 88.8065, 88.8065, 0.9004","1.1106,88.8065^\circ,88.8065^\circ,0.9004","1.1106,\;88.81,\;88.81,\;0.9005",,,PARTIAL,"tan48°≈1.1106, arctan48≈88.81°",computed,"1.111, 88.81, 88.81, 0.9004",82.06,2
498,FREE,A list of positive integers satisfies the following properties: (A) The mean of the list is $8$. (2) The median of the l,15,37.69,5,9,sub+teacher,"probably a small number like 7, 8, 9, 10, or something reasonable.

Wait, let me re-read the problem. ""A list of positive integers."" The mean is 8, median is 13, mode is 15, range is 27.

Hmm, mean=8 < median=13 < mode=15. This is unusual (usually mean < median < mode for left-skewed data, but here the mode is the highest of the three).

Range = 27. Max - min = 27.

Let me reconsider: maybe min doesn't have to be 1. The minimum just needs to be a positive integer. And max = min + 27.

For the mean to be 8, we need many small values. The smallest positive integer is 1.

But wait — what if the list has many small values AND the mode is 15? The mode being 15 means 15 appears more than any other single value. But we could have, say, 15 appearing 3 times and every other value appearing at most 2 times.

Let me reconsider n=7:
sum=56, median=4th element=13.
Mode=15 (≥2 times), range=27 (max-min=27).

If 15 appears 2 times, they must be in positions 5,6,7 (since 15>13).
Max must be ≥ 15. If max=15, range=27 → min=15-27=-12 (not positive). So max>15.
Max ≥ 28 (since min ≥ 1 and range=27).

Wait, actually max doesn't have to be 28. If min=1, max=28. If min=2, max=29. Etc.

But for minimum sum (mean=8 is small), we want min=1, max=28.

For n=7: a,b,c,13,d,e,f with a=1, some value=28.
15 appears 2 times. 28 appears once.
If d=15, e=15, f=28: sum = 1+b+c+13+15+15+28 = 72+b+c = 56 → b+c = -16. Impossible.

If e=15, f=15... but then max=15, range=27 → min=-12. Not positive.

So for n=7, impossible.

For n=8: sum=64.
Median=avg(a4,a5)=13.
Min=1, max=28, mode=15 (appears ≥2 times).
15s in positions 6,7,8 (or some subset), 28 in position 8.

1,b,c,d,e,15,15,28 where d+e=26, d≤e≤15.
d+e=26, e≤15 → d≥11.
Sum = 1+b+c+26+30+28 = 85+b+c = 64 → b+c = -21. Impossible.

For n=9: sum=72.
1,b,c,d,13,e,15,15,28 (mode=15 appears 2 times; 28 is max).
But wait, need 15 to",15,,,,,,,"probably a small number like 7, 8, 9, 10, or something reasonable.

Wait, let me re-read the problem. ""A list of positive integers."" The mean is 8, median is 13, mode is 15, range is 27.

Hmm, mean=8 < median=13 < mode=15. This is unusual (usually mean < median < mode for left-skewed data, but here the mode is the highest of the three).

Range = 27. Max - min = 27.

Let me reconsider: maybe min doesn't have to be 1. The minimum just needs to be a positive integer. And max = min + 27.

For the mean to be 8, we need many small values. The smallest positive integer is 1.

But wait — what if the list has many small values AND the mode is 15? The mode being 15 means 15 appears more than any other single value. But we could have, say, 15 appearing 3 times and every other value appearing at most 2 times.

Let me reconsider n=7:
sum=56, median=4th element=13.
Mode=15 (≥2 times), range=27 (max-min=27).

If 15 appears 2 times, they must be in positions 5,6,7 (since 15>13).
Max must be ≥ 15. If max=15, range=27 → min=15-27=-12 (not positive). So max>15.
Max ≥ 28 (since min ≥ 1 and range=27).

Wait, actually max doesn't have to be 28. If min=1, max=28. If min=2, max=29. Etc.

But for minimum sum (mean=8 is small), we want min=1, max=28.

For n=7: a,b,c,13,d,e,f with a=1, some value=28.
15 appears 2 times. 28 appears once.
If d=15, e=15, f=28: sum = 1+b+c+13+15+15+28 = 72+b+c = 56 → b+c = -16. Impossible.

If e=15, f=15... but then max=15, range=27 → min=-12. Not positive.

So for n=7, impossible.

For n=8: sum=64.
Median=avg(a4,a5)=13.
Min=1, max=28, mode=15 (appears ≥2 times).
15s in positions 6,7,8 (or some subset), 28 in position 8.

1,b,c,d,e,15,15,28 where d+e=26, d≤e≤15.
d+e=26, e≤15 → d≥11.
Sum = 1+b+c+26+30+28 = 85+b+c = 64 → b+c = -21. Impossible.

For n=9: sum=72.
1,b,c,d,13,e,15,15,28 (mode=15 appears 2 times; 28 is max).
But wait, need 15 to",46.95,4
499,FREE,In July 2005; the internet was linked by a global network of about 352.7 million host computers. The number of host comp,"36.9,0.3225,32.25,2.149",47.71,5,12,sub+teacher+wolfram,"36.9, 0.3225, 32.25, 2.149","36.9,0.3226,32.26,2.149","36.9,0.3225,32.25,2.150","36.9, 0.3225, 32.25, 2.149",HIGH,,,,2.149,92.63,1
500,MCQ,Using the iterative method to solve the system of equations $A X = b$; let $x^*$ be the exact solution; $\boldsymbol{X}^,J,85.4,2,21,backsolve+sub+teacher,J,J,J,,,,,,J,99.0,1
501,MCQ,Let $S_n$ denote the set $\{1; 2;...; n\}$ ; and define $f(S)$ ; where $S$ is a subset of the positive integers; to outp,F,73.77,4,17,sub+teacher,F,F,F,,,,,,INVALID,67.68,3
502,FREE,Determine the period for the function $y=2 \tan (\frac{11\pi}{8}x-\frac{9\pi}{10})$ Type 'pi' for $\pi$ in your answer(s,\frac{8}{11},83.92,3,18,backsolve+sub+teacher,8/11,\frac{8}{11},\frac{8}{11},,,,,,\dfrac{8}{11},60.27,3
503,FREE,A company set aside a certain amount of money in the year 2000. The company spent exactly the same amount from that fund,"y = -43000x + 833000,446000,2019",63.89,4,17,sub+teacher,"y = -43000x + 833000,\ \446{,}000,\ 2019","y=-43000x+833000,446000,2019","y=-43000x+833000,446000,2019",,,,,,"446000, 2019",46.42,4
504,FREE,Find the rectangular coordinates of the point whose polar coordinates are $\left(\small{3;}\normalsize{\frac{4\pi}{3}}\r,"-\frac{3}{2},-\frac{3\sqrt{3}}{2}",68.96,4,18,backsolve+sub+teacher,"-\frac{3}{2},-\frac{3\sqrt{3}}{2}","-\frac32,-\frac{3\sqrt3}{2}","-\frac{3}{2},-\frac{3\sqrt{3}}{2}",,,,,,"-\dfrac{3}{2}, -\dfrac{3\sqrt{3}}{2}",71.32,3
505,FREE,Suppose $f(x)=-26-39x^1+37x^2+27x^3+10x^4+1x^5$ is factored using Horner's Method Horner's Method into the nested form $,2,49.93,5,18,backsolve+sub+teacher,"1,3,6,-5,-4,2","1,3,6,-5,-4,2","1,3,6,-5,-4,2",,,,,,2,42.38,4
506,MCQ,We now define an algorithm: The definition of a(n) is the arithmetic mean of two consecutive balanced primes of order on,J,42.62,5,8,sub+teacher+wolfram,J,A,,J,HIGH,,,,A,55.37,4
507,MCQ,The value of $\frac{1}{399!}\left(\sum_{i=2}^{200}\frac{199!(399-i)!}{(200-i)!}-\sum_{i=2}^{100}\frac{99!(399-i)!}{(100-,I,72.17,4,21,backsolve+sub+teacher,C,I,I,,,,,,I,77.43,3
508,FREE,Let $n$ be a positive integer. A class of $n$ students run $n$ races; in each of which they are ranked with no draws. A ,\frac{n(n-1)}{2},49.03,5,14,backsolve+sub+teacher,\frac{n(n-1)}{2},\frac{n(n-1)}2,\frac{n(n-1)}2,,,,,,\dfrac{n(n-1)}{2},70.82,3
509,MCQ,Given that a>0; for any two numbers x and y; where 0 < x < a and 0 < y < a; the probability of $xy < a^2/4$ is ____.,H,93.67,2,22,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
510,FREE,Exactly \( n \) cells of an \( n \times n \) square grid are colored black; and the remaining cells are white. The cost ,1,43.23,5,12,backsolve+sub+teacher,2/3,\frac{3}{2},1,,,,,,1,95.51,1
511,MCQ,Find the arc length of the curve; where x=t; y=t^2 and z=2*t^3/3.,I,85.4,2,21,backsolve+sub+teacher,I,I,I,,,,,,I,99.0,1
512,FREE,Expand the expression (8 p+4)^2 and combine like terms. Simplify your answer as much as possible. Answer: [ANS],64p^2+64p+16,93.67,2,22,backsolve+sub+teacher,64p^2+64p+16,64p^2+64p+16,64p^2+64p+16,,,,,,64p^2 + 64p + 16,99.0,1
513,FREE,Given the significance level $\alpha=0.08$ find the following: (a) $\ $ lower-tailed $z$ value $z=$ [ANS] (b) $\ $ right,"-1.405,1.405,1.751",40.29,5,14,backsolve+sub+teacher,"-1.41, 1.41, 1.75","-1.4051,1.4051,1.7507","-1.405,1.405,1.75",,,,,,"-1.405, 1.405, 1.751",91.39,1
514,MCQ,Determine a definite integral that represents the region common to $r=2$ and $r=4 \cdot \cos\left(\theta\right)$.,I,85.4,2,21,backsolve+sub+teacher,I,I,I,,,,,,I,99.0,1
515,FREE,Order $-8$; $19$; $1$; $12$ from least to greatest. (Separate your answers by commas.) [ANS],"-8,1,12,19",93.67,2,22,backsolve+sub+teacher,"-8, 1, 12, 19","-8, 1, 12, 19","-8, 1, 12, 19",,,,,,"-8, 1, 12, 19",99.0,1
516,FREE,Consider the expression $7 j-11 j+4 j$. The coefficients=[ANS] (separate by a comma) and $7 j-11 j+4 j=$ [ANS],"7,-11,4,0",89.85,2,20,backsolve+sub+teacher,"7, -11, 4, 0","7,-11,4,0","7,-11,4,0",,,,,,"7, -11, 4, 0",92.2,1
517,MCQ,Let $S$ denote the sum of all of the three digit positive integers with three distinct digits. Compute the remainder whe,E,80.94,3,19,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
518,MCQ,We now define an algorithm: The definition of a(n) is: Table T(n;k) = n OR k read by antidiagonals. The OR operation ref,E,73.77,4,17,sub+teacher,E,E,E,,,,,,INVALID,52.99,4
519,FREE,Assume that the number of bacteria follows an exponential growth model: $ P(t)=P_0 e^{kt}$. The count in the bacteria cu,"426.3,5090,98.30",29.04,5,7,sub+teacher+wolfram,"426.2, 5090, 98.33","427.5813419821836,5086.650065113366,46.42814040782384","426.272,5090.41,98.27","426.3, 5090, 98.30",HIGH,,,,98.30,94.0,1
520,FREE,You have a job raking leaves and have been able to save \$93. You decide to use the money to hit balls in the batting ca,44,95.0,1,24,sub+teacher,44,44,44,,,,,,\$44,91.65,1
521,MCQ,Two numbers added together are 19. Their product is 70. What are the two numbers?,F,85.4,2,21,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
522,FREE,Approximate; to three decimal places; the solutions to the equation. If there is more than one solution write them separ,"-0.472,0.472",72.05,4,21,sub+teacher,"x = -0.472, \, 0.472","-0.472,\ 0.472","-0.472,\;0.472",,,,,,"x \approx -0.472, \, 0.472",48.82,4
523,FREE,Let $n$ be a positive integer. The integers $1;\;2;\;3;\;\ldots;\;n^2$ are to be written in the cells of an $n\times n$ ,2097150,60.92,4,15,sub+teacher,2097150,2097150,762,,,,,,762,63.1,3
524,MCQ,Find the Dini derivative of $$ f(x)=\begin{cases}ax\sin^2\frac{1}{x}+bx\cos^2\frac{1}{x};&x>0;\\0;&x=0;\quad(a<b;a^{\pri,E,62.76,4,20,backsolve+sub+teacher,I,E,H,,,NOT_FOUND,,,E,84.12,2
525,MCQ,Given that: $$\begin{align*}\left(\frac {1}{r}\right)\left(\frac {1}{s}\right)\left(\frac {1}{t}\right) &= \frac {3}{391,H,76.0,3,18,sub+teacher,H,H,,,,,,,A,62.22,3
526,FREE,Use substitution to compose $y=8 u^2+4 u+4$ and $u=4x^{2}$. Enter your answer as an equation; and simplify your answer a,y = 128x^4 + 16x^2 + 4,82.27,3,22,backsolve+sub+teacher,y = 128x^4 + 16x^2 + 4,y=128x^4+16x^2+4,y = 128x^{4} + 16x^{2} + 4,,,,,,y = 128x^4 + 16x^2 + 4,77.43,3
527,FREE,A microchip inspector found eight defective chips in a batch containing $700$ chips. At that rate; determine the number ,285.7,25.26,5,10,backsolve+sub+teacher,"8, 700, x, 25000, 286","8,700,25000,\frac{2000}{7}","8,700,x,25000,2000/7",,,,,,285.7,96.23,1
528,FREE,A city had a population of 7;774 at the begining of 1968 and has been growing at 7.1\% per year since then. (a) Find the,"43186,2069",29.43,5,10,sub+teacher,"43185, 2069","43164,2069","43196,2070",,,,,,2069,51.8,4
529,FREE,If Kamina can do a job in $33$ hours and Simon and Kamina working together can do the same job in $13$ hours; find how l,\frac{429}{20},95.0,1,24,sub+teacher,\frac{429}{20},\frac{429}{20},\frac{429}{20},,,GOLD,429/20,computed,42921,81.65,2
530,FREE,Put in simplest form. For example if $\frac{3}{7}$ were the answer you would put 3/7 in the answer box. 1) $\frac{16}{18,"8/9,7/9,5",87.98,2,19,backsolve+sub+teacher,"8/9,7/9,5","8/9,7/9,5","8/9,7/9,5",,,,,,"\frac{8}{9}, \frac{7}{9}, 5",57.43,4
531,FREE,Which of the following are integers? There may be more than one correct answer. [ANS] A. $\sqrt{3}$  B. $-2.101001000100,"C,D,F,H",97.91,1,25,sub+teacher,"C, D, F, H","C,\ D,\ F,\ H","C,D,F,H",,,,,,H,61.74,3
532,MCQ,For the following exercises; find the polar equation of the conic with focus at the origin and the given eccentricity an,I,84.97,3,22,backsolve+sub+teacher,I,I,I,,,,,,I,77.43,3
533,FREE,A dean in the business school claims that GMAT scores of applicants to the school's MBA program have increased during th,0.0564,48.4,5,14,sub+teacher,0.0564,0.056,0.057 (approximately),,,,,,0.0563,43.43,4
534,MCQ,Given that the general solution of the differential equation $\mathrm{y^{\prime\prime}+a y^{\prime}+b y=c e^{x}}$ is $\m,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
535,FREE,Use factoring to solve the polynomial equation: HINT: Try multiplying each side of the equation by a number to eliminate,"-6,-4",44.1,5,16,backsolve+sub+teacher,"x=-4, x=-6","-4,\,-6","-4,\,-6",,,GOLD,"-4, -6",computed,"-6, -4",85.57,2
536,MCQ,Decompose the following matrix into the product $LU$ using a compact format: $$ \left[ \begin{array} {r r r} {{{2}}} & {,E,85.4,2,21,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
537,FREE,In your Grandpa Neil’s recipe for a marinade; each serving uses $7.5$ tablespoons of ketchup and $6$ tablespoons of vine,42,95.0,1,24,sub+teacher,42,42,42,,,GOLD,42,computed,43,81.65,2
538,MCQ,Find the zeros of the function $f(x) = x^3 - (3 + \sqrt{3}) \cdot x + 3$.,E,73.09,4,21,backsolve+sub+teacher,E,A,E,,,,,,E,77.43,3
539,FREE,Let p(x)=x^{6}-14x^{5}+72x^{4}-78x^{3}-933x^{2}+5372x-9860. The polynomial $p(x)$ has exactly one positive real root. Be,"4,5",75.67,3,19,sub+teacher,"4,5","7,8","4,5",,,,,,5,47.07,4
540,FREE,Suppose {$Z_t$} is white noise with mean zero. Define the stochastic process {$X_t$}; $t=1;2;3\ldots$ by X_t=\alpha X_{t,"A,B,C",32.54,5,6,sub+teacher,"A,B,C","A,B,A","A,B,C",,,,,,"A, C, C",51.27,4
541,FREE,The domain of the function $ f(x)=x+\frac{7}{3x-15}$ is all real numbers $x$ except for where $x$ equals [ANS],5,93.67,2,22,backsolve+sub+teacher,5,5,5,,,,,,5,99.0,1
542,FREE,The length (in pages) of math research projects is given below. Using this information; calculate the range; variance; a,"285.0,7457,86.35,A",38.82,5,14,sub+teacher,"285, 8389.25, 91.59, A","285,\frac{59540}{9},\frac{\sqrt{59540}}{3},A","285,\frac{67114}{9},\frac{\sqrt{67114}}{3},A",,,,,,"285.0, 7457, 86.35",26.78,5
543,FREE,Find the answer to the nearest cent when you perform each division. Your answer should include a dollar sign and a decim,"\$1.43,\$0.54",45.96,5,14,backsolve+sub+teacher,"\1.43,\0.54","\1.43,\0.54","\0.70,\0.54",,,,,,"\$1.43, \$0.54",62.92,3
544,FREE,Can the following function be written in the form of an exponential function or a power function? If not; be sure you ca,A,87.06,2,22,backsolve+sub+teacher,A,A. It is a power function.,A,,,,,,A,77.43,3
